mcc,fpr,fpr_ci_low,fpr_ci_high,tp,fp,tn,fn,n,block_key,n_events_test,n_samples_test,threshold,threshold_mode
-0.17895389390492947,0.9096727820372399,0.9063317744448643,0.9129060723359147,15244,26577,2639,4238,48698,+30_+140,4,48698,0.53992,mcc
-0.03970819327098712,0.2482491829520443,0.24139937353273866,0.2552279649152581,2477,3722,11271,9078,26548,-10_-080,3,26548,0.49002,mcc
-0.031916854533165846,0.9977525521865,0.9971023309493087,0.9982571223360949,12926,26193,59,82,39260,-40_-180,3,39260,0.4501,mcc
-0.025625425375182222,0.649816915245155,0.6435439286292343,0.6560385115954899,7735,14552,7842,4658,34787,-70_-030,2,34787,0.5133066666666667,mcc
-0.013288206761660827,0.9993213486390874,0.9990977377751394,0.9994895695381244,38634,69208,47,60,107949,-20_+160,10,107949,0.4268133333333333,mcc
-0.010580239021792635,0.0028523489932885905,0.0020419659413750115,0.003983060395045221,22,34,11886,11999,23941,+50_+160,2,23941,0.5332666666666667,mcc
-0.008981871744391553,0.0008722197993894462,0.000519653315615439,0.0014636399422074278,3,14,16037,8138,24192,+10_-080,2,24192,0.5232866666666667,mcc
-0.008798096171466454,0.8821544613846538,0.878014530480093,0.8861721065482553,10521,21177,2829,1488,36015,-60_-030,2,36015,0.5033266666666667,mcc
-0.00453468807776792,0.009088843444671665,0.008149721769887246,0.01013507766537232,163,320,34888,19695,55066,+10_-100,5,55066,0.5365933333333334,mcc
-0.004148157244581092,0.9557217116166943,0.9539387361979984,0.9574387495056055,29846,50745,2351,1441,84383,-20_-080,8,84383,0.48336666666666667,mcc
-0.0020972136351794196,0.9949885358663609,0.9943964551726385,0.9955183381959378,33817,60754,306,181,95058,-10_+150,9,95058,0.46340666666666663,mcc
0.0,0.0,0.0,0.0003237136717486645,0,0,11863,7999,19862,+10_-090,2,19862,0.5665333333333333,mcc
0.0,0.0,0.0,0.0,8780,0,0,821,9601,+30_+070,2,9601,0.46340666666666663,mcc
0.0,0.0,0.0,0.0,148,0,0,7963,8111,-30_+160,2,8111,0.5266133333333333,mcc
0.0,1.0,0.9997533390312946,0.9999999999999998,9566,15570,0,0,25136,-40_+170,2,25136,0.36693333333333333,mcc
7.753864150761382e-05,0.00026673779674579886,0.00010373385485911849,0.0006857050770924406,2,4,14992,7421,22419,-10_+130,2,22419,0.52994,mcc
0.0010203079968407742,0.7491375405094609,0.7440887552696996,0.7541196342130921,11554,21498,7199,3850,44101,-10_+140,4,44101,0.4367933333333333,mcc
0.0010824669180635046,0.9906527890056589,0.9892137109857586,0.9919014409213549,9879,19607,185,91,29762,+30_+030,2,29762,0.47006,mcc
0.002403224836154623,0.6424925816023739,0.6352244194207627,0.649695787745824,5625,10826,6024,3097,25572,+20_+080,2,25572,0.5498999999999999,mcc
0.00561102608804961,0.8540108836080336,0.84962748824616,0.8582878142835663,11225,21814,3729,1855,38623,-30_-180,3,38623,0.49002,mcc
0.00965014720707681,0.6606189583032751,0.6550234006861746,0.6661700111135329,11043,18315,9409,5438,44205,+50_-160,3,44205,0.50998,mcc
0.01524547453557863,0.9495160213618158,0.9454500563221512,0.953293894956288,9050,11379,605,416,21450,-40_-080,2,21450,0.42016,mcc
0.015633602547122743,0.01065784638000735,0.009065231392796674,0.012526721141137662,114,145,13460,7928,21647,+10_-110,2,21647,0.5598799999999999,mcc
0.017873346876621055,0.9534855179185077,0.9515828193109398,0.9553169553139432,23806,46614,2274,960,73654,-30_+170,6,73654,0.46008,mcc
0.026023166663398555,0.021592544889764375,0.019907526082476677,0.02341677993628186,679,570,25828,22104,49181,+00_+120,6,49181,0.5,mcc
0.03451187224379281,0.9050944946589975,0.9002339920572316,0.909741939934791,8152,13218,1386,659,23415,+20_+060,2,23415,0.4767133333333333,mcc
0.06956574382656447,0.011984021304926764,0.00976053228281317,0.0147065076232362,242,90,7420,7209,14961,-10_+120,2,14961,0.49334666666666666,mcc
