mcc,fpr,fpr_ci_low,fpr_ci_high,tp,fp,tn,fn,n,block_key,n_events_test,n_samples_test,threshold,threshold_mode
-0.13860598527486273,0.13095238095238096,0.0747222131694305,0.21946072923186608,3,11,73,59,146,+10_-110,2,146,0.5731866666666666,fpr_target_feasible
-0.08571428571428572,0.01935483870967742,0.0066038767216294765,0.0553538696612183,0,3,152,93,248,+50_-160,3,248,0.8060533333333333,fpr_target_feasible
-0.07823504164002304,0.2236842105263158,0.1446118282222615,0.32934567931373554,10,17,59,52,138,+30_+030,2,138,0.60978,fpr_target_feasible
-0.06122901441633803,0.009836065573770493,0.0033506797395839163,0.028515051170616965,0,3,302,186,491,-30_+170,6,491,0.8359933333333334,fpr_target_feasible
-0.04453356527879176,0.00510204081632653,0.0009012039505642018,0.0283292613150808,0,1,195,124,320,-10_+140,4,320,0.70958,fpr_target_feasible
-0.028675927317856058,0.025,0.008538174769902231,0.0709300333278661,1,3,117,61,182,+20_+080,2,182,0.5998,fpr_target_feasible
-0.01569140186379923,0.22321428571428573,0.15601171396569477,0.3087740317320778,13,25,87,49,174,-70_-030,2,174,0.7062533333333333,fpr_target_feasible
-0.013728481476531528,0.010810810810810811,0.002969738168643886,0.03855429405216007,1,2,183,123,309,+30_+140,4,309,0.7129066666666667,fpr_target_feasible
-0.00785610433885668,0.046632124352331605,0.029697732424466505,0.0725013998618177,12,18,368,265,663,-10_+150,9,663,0.6430466666666667,fpr_target_feasible
0.0,0.0,0.0,0.024337451322329538,0,0,154,185,339,+00_+120,6,339,0.8027266666666667,fpr_target_feasible
0.0,0.0,0.0,0.03735321206782739,0,0,99,62,161,+10_-080,2,161,0.7827666666666666,fpr_target_feasible
0.0,0.0,0.0,0.03966750261173514,0,0,93,62,155,+10_-090,2,155,0.8492999999999999,fpr_target_feasible
0.0,0.0,0.0,0.03595475822864816,0,0,103,62,165,+20_+060,2,165,0.9923466666666666,fpr_target_feasible
0.0,0.0,0.0,0.058344072101372484,0,0,62,61,123,-10_+120,2,123,0.8426466666666667,fpr_target_feasible
0.0,0.0,0.0,0.031019166418703486,0,0,120,93,213,-10_-080,3,213,0.9956733333333333,fpr_target_feasible
0.0,0.0,0.0,0.007534614445792111,0,0,506,308,814,-20_+160,10,814,0.9923466666666666,fpr_target_feasible
0.0,0.0,0.0,0.01168179594650424,0,0,325,246,571,-20_-080,8,571,0.999,fpr_target_feasible
0.0,0.0,0.0,0.0458181295355271,0,0,80,62,142,-40_-080,2,142,0.999,fpr_target_feasible
0.007359944506405786,0.15040650406504066,0.11113137116802928,0.20043204664149966,24,37,209,130,400,+10_-100,5,400,0.5332666666666667,fpr_target_feasible
0.03279011358134684,0.42857142857142855,0.3546723609421455,0.505799633393829,43,69,92,50,254,-30_-180,3,254,0.51996,fpr_target_feasible
0.03908494572606725,0.019801980198019802,0.005447322461147053,0.06934616962584345,2,2,99,60,163,-40_+170,2,163,0.7361933333333334,fpr_target_feasible
0.09641012737763376,0.0967741935483871,0.06209307639752085,0.14777393088419472,15,18,168,77,278,-40_-180,3,278,0.6164333333333333,fpr_target_feasible
0.12493108286437417,0.09473684210526316,0.05064423402767534,0.17033043673589748,11,9,86,50,156,-10_+130,2,156,0.4966733333333333,fpr_target_feasible
0.2532149609488209,0.038834951456310676,0.015203989548269225,0.0956280690121344,12,4,99,50,165,-60_-030,2,165,0.7029266666666667,fpr_target_feasible
0.34222378222022665,0.0,0.0,0.058344072101372484,13,0,62,49,124,+50_+160,2,124,0.52994,fpr_target_feasible
