mcc,fpr,fpr_ci_low,fpr_ci_high,tp,fp,tn,fn,n,block_key,n_events_test,n_samples_test,threshold,threshold_mode
-0.23787592305746003,0.19047619047619047,0.12078697736721433,0.28723742593709883,2,16,68,60,146,+10_-110,2,146,0.6430466666666667,fpr_target_feasible
-0.1104732347920395,0.06666666666666667,0.03416530686090633,0.12605130403530337,1,8,112,61,182,+20_+080,2,182,0.91916,fpr_target_feasible
-0.10253901810216562,0.4896373056994819,0.440116568007408,0.5393622693019929,107,189,197,170,663,-10_+150,9,663,0.6596799999999999,fpr_target_feasible
-0.0911429660682357,0.05,0.019613554535544288,0.12162276204643009,1,4,76,61,142,-40_-080,2,142,0.9757133333333333,fpr_target_feasible
-0.03494282789073061,0.06451612903225806,0.025372905520440803,0.1544751572775288,3,4,58,59,124,+50_+160,2,124,0.46008,fpr_target_feasible
-0.0246569253606766,0.05102040816326531,0.02794620828097462,0.09135565711466209,5,10,186,119,320,-10_+140,4,320,0.9956733333333333,fpr_target_feasible
-0.013985644669743872,0.10526315789473684,0.05431126182821911,0.19419946322320508,6,8,68,56,138,+30_+030,2,138,0.6496999999999999,fpr_target_feasible
-0.009523809523809525,0.012903225806451613,0.0035456916701159086,0.045820883523239896,1,2,153,92,248,+50_-160,3,248,0.6862933333333333,fpr_target_feasible
-0.009230131636077287,0.008130081300813009,0.0022324003364482827,0.029153338674633038,1,2,244,153,400,+10_-100,5,400,0.8858933333333333,fpr_target_feasible
0.0,0.0,0.0,0.03966750261173514,0,0,93,62,155,+10_-090,2,155,0.999,fpr_target_feasible
0.0,0.0,0.0,0.020342242877617298,0,0,185,124,309,+30_+140,4,309,0.999,fpr_target_feasible
0.0,0.0,0.0,0.058344072101372484,0,0,62,61,123,-10_+120,2,123,0.9956733333333333,fpr_target_feasible
0.0,0.0,0.0,0.038864853539472964,0,0,95,61,156,-10_+130,2,156,0.81936,fpr_target_feasible
0.0,0.0,0.0,0.007534614445792111,0,0,506,308,814,-20_+160,10,814,0.9956733333333333,fpr_target_feasible
0.0,0.0,0.0,0.03664064639985608,0,0,101,62,163,-40_+170,2,163,0.9058533333333333,fpr_target_feasible
0.0,0.0,0.0,0.03595475822864816,0,0,103,62,165,-60_-030,2,165,0.9025266666666666,fpr_target_feasible
0.0,0.0,3.35439541744953e-18,0.033161347066943875,0,0,112,62,174,-70_-030,2,174,0.9357933333333333,fpr_target_feasible
0.017795652111371015,0.19692307692307692,0.15733647562555705,0.24359064376355474,52,64,261,194,571,-20_-080,8,571,0.5565533333333333,fpr_target_feasible
0.02181579630148324,0.024844720496894408,0.009703085063884639,0.062132355518903705,3,4,157,90,254,-30_-180,3,254,0.7129066666666667,fpr_target_feasible
0.03023746178993226,0.036065573770491806,0.02025570606411337,0.06341654091778244,9,11,294,177,491,-30_+170,6,491,0.7262133333333333,fpr_target_feasible
0.03058496085238558,0.005376344086021506,0.0009496880252811584,0.0298205075736233,1,1,185,91,278,-40_-180,3,278,0.8592799999999999,fpr_target_feasible
0.06980088494826532,0.24271844660194175,0.1701503674917659,0.3337875178103541,19,25,78,43,165,+20_+060,2,165,0.58982,fpr_target_feasible
0.07503277542436743,0.025,0.008538174769902231,0.0709300333278661,5,3,117,88,213,-10_-080,3,213,0.8858933333333333,fpr_target_feasible
0.09989914268739958,0.0,0.0,0.03735321206782739,1,0,99,61,161,+10_-080,2,161,0.8326666666666667,fpr_target_feasible
0.10281257676236198,0.006493506493506494,0.0011471844874949779,0.035861209025453665,7,1,153,178,339,+00_+120,6,339,0.8626066666666666,fpr_target_feasible
