mcc,fpr,fpr_ci_low,fpr_ci_high,tp,fp,tn,fn,n,block_key,n_events_test,n_samples_test,threshold,threshold_mode,feature_mode,zone_thresholds
-0.13860598527486273,0.13095238095238096,0.0747222131694305,0.21946072923186608,3,11,73,59,146,+10_-110,2,146,0.5731866666666666,zone_adaptive,raw,"{""1"": {""mode"": ""fallback_global_small_test"", ""n_test"": 74, ""n_val"": 92, ""threshold"": 0.5731866666666666}, ""2"": {""mode"": ""fallback_global_small_test"", ""n_test"": 72, ""n_val"": 0, ""threshold"": 0.5731866666666666}}"
-0.08571428571428572,0.01935483870967742,0.0066038767216294765,0.0553538696612183,0,3,152,93,248,+50_-160,3,248,0.8060533333333333,zone_adaptive,raw,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 248, ""n_val"": 299, ""threshold"": 0.8060533333333333}}"
-0.07823504164002304,0.2236842105263158,0.1446118282222615,0.32934567931373554,10,17,59,52,138,+30_+030,2,138,0.60978,zone_adaptive,raw,"{""3"": {""mode"": ""fallback_global_small_test"", ""n_test"": 72, ""n_val"": 0, ""threshold"": 0.60978}, ""4"": {""mode"": ""fallback_global_small_test"", ""n_test"": 66, ""n_val"": 30, ""threshold"": 0.60978}}"
-0.048660172188235,0.012953367875647668,0.005545253760589267,0.029960099781247453,1,5,381,276,663,-10_+150,9,663,0.6430466666666667,zone_adaptive,raw,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 432, ""n_val"": 660, ""threshold"": 0.8626066666666666}, ""1"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 231, ""n_val"": 185, ""threshold"": 0.6463733333333334}}"
-0.04453356527879176,0.00510204081632653,0.0009012039505642018,0.0283292613150808,0,1,195,124,320,-10_+140,4,320,0.70958,zone_adaptive,raw,"{""1"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 148, ""n_val"": 152, ""threshold"": 0.999}, ""2"": {""mode"": ""fallback_global_small_val"", ""n_test"": 172, ""n_val"": 93, ""threshold"": 0.70958}}"
-0.028675927317856058,0.025,0.008538174769902231,0.0709300333278661,1,3,117,61,182,+20_+080,2,182,0.5998,zone_adaptive,raw,"{""2"": {""mode"": ""fallback_global_small_val"", ""n_test"": 182, ""n_val"": 0, ""threshold"": 0.5998}}"
-0.020287913459402142,0.012307692307692308,0.004796347375801586,0.031213281285865625,2,4,321,244,571,-20_-080,8,571,0.999,zone_adaptive,raw,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 249, ""n_val"": 774, ""threshold"": 0.5266133333333333}, ""1"": {""mode"": ""fallback_global_small_val"", ""n_test"": 181, ""n_val"": 0, ""threshold"": 0.999}, ""4"": {""mode"": ""fallback_global_small_val"", ""n_test"": 141, ""n_val"": 0, ""threshold"": 0.999}}"
-0.01569140186379923,0.22321428571428573,0.15601171396569477,0.3087740317320778,13,25,87,49,174,-70_-030,2,174,0.7062533333333333,zone_adaptive,raw,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 174, ""n_val"": 483, ""threshold"": 0.7062533333333333}}"
0.0,0.0,0.0,0.024337451322329538,0,0,154,185,339,+00_+120,6,339,0.8027266666666667,zone_adaptive,raw,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 271, ""n_val"": 544, ""threshold"": 0.8260133333333333}, ""3"": {""mode"": ""fallback_global_small_test"", ""n_test"": 68, ""n_val"": 31, ""threshold"": 0.8027266666666667}}"
0.0,0.0,0.0,0.03735321206782739,0,0,99,62,161,+10_-080,2,161,0.7827666666666666,zone_adaptive,raw,"{""0"": {""mode"": ""fallback_global_small_test"", ""n_test"": 68, ""n_val"": 497, ""threshold"": 0.7827666666666666}, ""2"": {""mode"": ""fallback_global_small_test"", ""n_test"": 93, ""n_val"": 81, ""threshold"": 0.7827666666666666}}"
0.0,0.0,0.0,0.03966750261173514,0,0,93,62,155,+10_-090,2,155,0.8492999999999999,zone_adaptive,raw,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 155, ""n_val"": 412, ""threshold"": 0.8492999999999999}}"
0.0,0.0,0.0,0.03595475822864816,0,0,103,62,165,+20_+060,2,165,0.9923466666666666,zone_adaptive,raw,"{""4"": {""mode"": ""fallback_global_small_val"", ""n_test"": 165, ""n_val"": 92, ""threshold"": 0.9923466666666666}}"
0.0,0.0,0.0,0.058344072101372484,0,0,62,61,123,-10_+120,2,123,0.8426466666666667,zone_adaptive,raw,"{""0"": {""mode"": ""fallback_global_small_test"", ""n_test"": 31, ""n_val"": 758, ""threshold"": 0.8426466666666667}, ""2"": {""mode"": ""fallback_global_small_test"", ""n_test"": 92, ""n_val"": 0, ""threshold"": 0.8426466666666667}}"
0.0,0.0,0.0,0.031019166418703486,0,0,120,93,213,-10_-080,3,213,0.9956733333333333,zone_adaptive,raw,"{""1"": {""mode"": ""fallback_global_small_val"", ""n_test"": 213, ""n_val"": 59, ""threshold"": 0.9956733333333333}}"
0.0,0.0,0.0,0.007534614445792111,0,0,506,308,814,-20_+160,10,814,0.9923466666666666,zone_adaptive,raw,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 724, ""n_val"": 309, ""threshold"": 0.9923466666666666}, ""4"": {""mode"": ""fallback_global_small_test"", ""n_test"": 90, ""n_val"": 0, ""threshold"": 0.9923466666666666}}"
0.0,0.0,0.0,0.0458181295355271,0,0,80,62,142,-40_-080,2,142,0.999,zone_adaptive,raw,"{""0"": {""mode"": ""fallback_global_small_test"", ""n_test"": 61, ""n_val"": 444, ""threshold"": 0.999}, ""4"": {""mode"": ""fallback_global_small_test"", ""n_test"": 81, ""n_val"": 75, ""threshold"": 0.999}}"
0.0,0.0,0.0,0.03595475822864816,0,0,103,62,165,-60_-030,2,165,0.7029266666666667,zone_adaptive,raw,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 165, ""n_val"": 466, ""threshold"": 0.8492999999999999}}"
0.007359944506405786,0.15040650406504066,0.11113137116802928,0.20043204664149966,24,37,209,130,400,+10_-100,5,400,0.5332666666666667,zone_adaptive,raw,"{""0"": {""mode"": ""fallback_global_small_test"", ""n_test"": 92, ""n_val"": 602, ""threshold"": 0.5332666666666667}, ""1"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 148, ""n_val"": 146, ""threshold"": 0.5332666666666667}, ""2"": {""mode"": ""fallback_global_small_val"", ""n_test"": 160, ""n_val"": 0, ""threshold"": 0.5332666666666667}}"
0.0077512028161346785,0.029508196721311476,0.015600546502992054,0.055120071460980025,6,9,296,180,491,-30_+170,6,491,0.8359933333333334,zone_adaptive,raw,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 491, ""n_val"": 547, ""threshold"": 0.73952}}"
0.06959846532937662,0.0,0.0,0.020342242877617298,1,0,185,123,309,+30_+140,4,309,0.7129066666666667,zone_adaptive,raw,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 309, ""n_val"": 511, ""threshold"": 0.8127066666666667}}"
0.09296736182407912,0.13440860215053763,0.09272545763194459,0.19088729563681087,19,25,161,73,278,-40_-180,3,278,0.6164333333333333,zone_adaptive,raw,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 278, ""n_val"": 395, ""threshold"": 0.5931466666666666}}"
0.11721580950371205,0.0,0.0,0.023303960351823035,2,0,161,91,254,-30_-180,3,254,0.51996,zone_adaptive,raw,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 254, ""n_val"": 468, ""threshold"": 0.8160333333333333}}"
0.12493108286437417,0.09473684210526316,0.05064423402767534,0.17033043673589748,11,9,86,50,156,-10_+130,2,156,0.4966733333333333,zone_adaptive,raw,"{""1"": {""mode"": ""fallback_global_small_test"", ""n_test"": 65, ""n_val"": 147, ""threshold"": 0.4966733333333333}, ""3"": {""mode"": ""fallback_global_small_test"", ""n_test"": 91, ""n_val"": 93, ""threshold"": 0.4966733333333333}}"
0.1792313819398928,0.1188118811881188,0.06928719446185173,0.19627052606081086,16,12,89,46,163,-40_+170,2,163,0.7361933333333334,zone_adaptive,raw,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 163, ""n_val"": 506, ""threshold"": 0.5565533333333333}}"
0.34222378222022665,0.0,0.0,0.058344072101372484,13,0,62,49,124,+50_+160,2,124,0.52994,zone_adaptive,raw,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 124, ""n_val"": 576, ""threshold"": 0.53992}}"
