mcc,fpr,fpr_ci_low,fpr_ci_high,tp,fp,tn,fn,n,block_key,n_events_test,n_samples_test,threshold,threshold_mode,feature_mode,zone_thresholds
-0.09534544305723885,0.15922818791946308,0.15276972244881443,0.16590622371698693,1150,1898,10022,10871,23941,+50_+160,2,23941,0.5565533333333333,zone_adaptive,land_residualized,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 23941, ""n_val"": 95076, ""threshold"": 0.53992}}"
-0.05131583821006235,0.05575935436537051,0.05219899787543083,0.059547296397421824,393,836,14157,11162,26548,-10_-080,3,26548,0.5565533333333333,zone_adaptive,land_residualized,"{""1"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 26548, ""n_val"": 9296, ""threshold"": 0.6530266666666666}}"
-0.02851936108364198,0.11499595796281326,0.1106260315532757,0.11951530738893368,959,2276,17516,9011,29762,+30_+030,2,29762,0.70958,zone_adaptive,land_residualized,"{""3"": {""mode"": ""fallback_global_small_val"", ""n_test"": 14783, ""n_val"": 0, ""threshold"": 0.70958}, ""4"": {""mode"": ""fallback_global_single_class"", ""n_test"": 14979, ""n_val"": 4886, ""threshold"": 0.70958}}"
-0.02763262971622024,0.1707121899173113,0.16477463833862452,0.17681840268699292,1106,2560,12436,6317,22419,-10_+130,2,22419,0.5665333333333333,zone_adaptive,land_residualized,"{""1"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 11374, ""n_val"": 22224, ""threshold"": 0.5432466666666667}, ""3"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 11045, ""n_val"": 11932, ""threshold"": 0.6264133333333333}}"
-0.025325640679341028,0.08458264276028327,0.08224575881614,0.08697963267187937,2203,4491,48605,29084,84383,-20_-080,8,84383,0.6862933333333333,zone_adaptive,land_residualized,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 36149, ""n_val"": 116509, ""threshold"": 0.8592799999999999}, ""1"": {""mode"": ""fallback_global_small_val"", ""n_test"": 24599, ""n_val"": 0, ""threshold"": 0.6862933333333333}, ""4"": {""mode"": ""fallback_global_small_val"", ""n_test"": 23635, ""n_val"": 0, ""threshold"": 0.6862933333333333}}"
-0.024425229594367583,0.3258462088059302,0.31973794945206946,0.3320142064715001,3744,7297,15097,8649,34787,-70_-030,2,34787,0.999,zone_adaptive,land_residualized,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 34787, ""n_val"": 67527, ""threshold"": 0.50998}}"
-0.02320539605142476,0.003601617052554208,0.0027255571394007336,0.004757920357846813,9,49,13556,8033,21647,+10_-110,2,21647,0.5998,zone_adaptive,land_residualized,"{""1"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 9746, ""n_val"": 11397, ""threshold"": 0.8359933333333334}, ""2"": {""mode"": ""fallback_global_small_val"", ""n_test"": 11901, ""n_val"": 0, ""threshold"": 0.5998}}"
-0.02092559535950011,0.0021227061079156393,0.001495893833433353,0.003011374335262227,4,31,14573,8807,23415,+20_+060,2,23415,0.5266133333333333,zone_adaptive,land_residualized,"{""4"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 23415, ""n_val"": 14041, ""threshold"": 0.98902}}"
-0.016683098785277056,0.0039946737683089215,0.0027996621130440043,0.005696851843309037,16,30,7480,7435,14961,-10_+120,2,14961,0.6264133333333333,zone_adaptive,land_residualized,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 3791, ""n_val"": 125180, ""threshold"": 0.999}, ""2"": {""mode"": ""fallback_global_small_val"", ""n_test"": 11170, ""n_val"": 0, ""threshold"": 0.6264133333333333}}"
-0.01044058471708068,0.061366893028471745,0.05775791654842437,0.06518577391924109,457,985,15066,7684,24192,+10_-080,2,24192,0.6729866666666666,zone_adaptive,land_residualized,"{""0"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 12212, ""n_val"": 81447, ""threshold"": 0.999}, ""2"": {""mode"": ""zone_fpr_target_feasible"", ""n_test"": 11980, ""n_val"": 10144, ""threshold"": 0.5066533333333333}}"
