zone_type,feature,nedt_k_approx,n_control_samples,n_control_windows,mean_samples_per_window,sigma_control_sample_k,sigma_control_window_mean_k
0,BT_06_H,0.3,546893,121,4519.7768595041325,65.6867440970786,42.24269310575757
0,BT_06_V,0.3,546893,121,4519.7768595041325,38.29336190049399,23.956060594670028
0,BT_10_H,0.6,546893,121,4519.7768595041325,64.0263120660888,41.110210069969355
0,BT_10_V,0.6,546893,121,4519.7768595041325,35.855816440193934,22.441688778202263
0,BT_23_H,0.6,546893,121,4519.7768595041325,42.926325692888476,29.65272590635812
0,BT_23_V,0.6,546893,121,4519.7768595041325,23.40980922402876,16.760426995092224
0,BT_36_H,0.3,546893,121,4519.7768595041325,41.298154028496604,25.713270812178806
0,BT_36_V,0.3,546893,121,4519.7768595041325,19.92546105069186,12.570089339872355
0,BT_89_H,0.6,546893,121,4519.7768595041325,26.062799389730873,18.17835273644803
0,BT_89_V,0.6,546893,121,4519.7768595041325,15.71333043450025,11.78979539949066
1,BT_06_H,0.3,114389,32,3574.65625,79.15594372889367,40.56305581674991
1,BT_06_V,0.3,114389,32,3574.65625,46.16955942551568,23.924170043710227
1,BT_10_H,0.6,114389,32,3574.65625,76.61856891583218,39.633489212842164
1,BT_10_V,0.6,114389,32,3574.65625,42.72245199531421,22.476999927998126
1,BT_23_H,0.6,114389,32,3574.65625,38.716940031301725,25.20015775535278
1,BT_23_V,0.6,114389,32,3574.65625,20.81683547275724,13.863286916889306
1,BT_36_H,0.3,114389,32,3574.65625,48.202203917274204,26.92257165944533
1,BT_36_V,0.3,114389,32,3574.65625,23.823214895694363,13.66001882956504
1,BT_89_H,0.6,114389,32,3574.65625,19.16470998000122,12.320369527023082
1,BT_89_V,0.6,114389,32,3574.65625,9.494372781547467,5.164408024556048
2,BT_06_H,0.3,69854,18,3880.777777777778,87.12228211027693,29.88086438397886
2,BT_06_V,0.3,69854,18,3880.777777777778,50.79662847469164,16.940972620322214
2,BT_10_H,0.6,69854,18,3880.777777777778,84.50119310372457,28.90863758106755
2,BT_10_V,0.6,69854,18,3880.777777777778,47.2447915864772,15.895384219515227
2,BT_23_H,0.6,69854,18,3880.777777777778,40.375294789770145,15.476059206290685
2,BT_23_V,0.6,69854,18,3880.777777777778,21.38484789178411,8.294807721277373
2,BT_36_H,0.3,69854,18,3880.777777777778,52.34532892084062,17.375244337075674
2,BT_36_V,0.3,69854,18,3880.777777777778,25.726520759781174,8.469793274410753
2,BT_89_H,0.6,69854,18,3880.777777777778,20.12364855736398,8.27082942766266
2,BT_89_V,0.6,69854,18,3880.777777777778,9.914545661650134,3.9412258695063977
3,BT_06_H,0.3,44583,10,4458.3,66.45785095397024,37.141050572126005
3,BT_06_V,0.3,44583,10,4458.3,39.647259700516,24.002640436443166
3,BT_10_H,0.6,44583,10,4458.3,64.47021346378212,36.43879812707571
3,BT_10_V,0.6,44583,10,4458.3,36.868764120361384,22.53207185765135
3,BT_23_H,0.6,44583,10,4458.3,47.34303327186238,39.66556145444716
3,BT_23_V,0.6,44583,10,4458.3,26.960400355257523,23.662418855406486
3,BT_36_H,0.3,44583,10,4458.3,43.78839210670581,29.210411711914084
3,BT_36_V,0.3,44583,10,4458.3,22.369545558598627,16.437865009945213
3,BT_89_H,0.6,44583,10,4458.3,29.367624290146825,24.62509750126976
3,BT_89_V,0.6,44583,10,4458.3,15.389716511853603,13.49286110234099
4,BT_06_H,0.3,74180,18,4121.111111111111,78.07108691978063,54.75894610382023
4,BT_06_V,0.3,74180,18,4121.111111111111,49.09481256735647,35.54636612305489
4,BT_10_H,0.6,74180,18,4121.111111111111,75.95374643945891,53.00018269710075
4,BT_10_V,0.6,74180,18,4121.111111111111,45.50863934736905,32.851946134266385
4,BT_23_H,0.6,74180,18,4121.111111111111,47.860180282014696,32.905453636538155
4,BT_23_V,0.6,74180,18,4121.111111111111,27.16588363481129,19.610740683494257
4,BT_36_H,0.3,74180,18,4121.111111111111,50.359159723131796,33.29567385463876
4,BT_36_V,0.3,74180,18,4121.111111111111,26.010944195380063,18.073437076270217
4,BT_89_H,0.6,74180,18,4121.111111111111,26.143255964175307,16.255124060508468
4,BT_89_V,0.6,74180,18,4121.111111111111,12.287337030692733,8.089433942033526
