replicate_id,n_samples,mcc
0,278,0.1276
1,278,0.0878
2,279,0.0752
3,278,0.1529
4,278,0.1062
5,278,0.1261
6,279,0.0345
7,279,0.115
8,278,-0.3043
9,279,0.083
10,279,0.1449
11,278,0.0672
12,278,0.1216
13,278,0.0577
14,278,0.0811
15,279,0.0956
16,279,0.0752
17,280,0.0507
18,279,0.1483
19,279,0.0741
20,280,0.0309
21,279,0.0625
22,278,-0.2133
23,279,0.0393
24,278,0.0455
25,279,-0.004
26,279,0.1352
27,279,0.0447
28,280,0.12
29,279,0.0818
30,279,0.1018
31,279,0.1006
32,280,0.065
33,279,0.0642
34,279,0.0799
35,280,0.0532
36,279,0.0932
37,279,0.125
38,279,0.1028
39,279,-0.2992
40,279,0.0459
41,279,0.0608
42,279,0.0566
43,278,0.0621
44,279,0.0183
45,279,0.0501
46,279,0.0799
47,279,0.0559
48,278,0.0966
49,278,0.1151
50,279,0.1084
51,279,0.0999
52,280,0.0571
53,279,0.1084
54,279,0.1301
55,279,0.0976
56,280,-0.2568
57,279,-0.178
58,278,-0.3213
59,279,0.0786
60,279,0.125
61,278,0.1129
62,278,0.0977
63,279,0.0201
64,279,-0.2239
65,278,0.1051
66,279,-0.3509
67,279,0.0513
68,280,0.0592
69,279,-0.2735
70,278,0.0996
71,279,0.0597
72,278,-0.2916
73,278,-0.3288
74,278,0.0925
75,278,0.1033
76,279,0.0678
77,278,0.1078
78,278,0.1226
79,279,0.0898
80,278,0.0929
81,278,0.0915
82,279,0.1294
83,278,0.0656
84,279,0.1371
85,279,0.0237
86,279,0.1155
87,278,0.1093
88,279,-0.2346
89,278,0.1502
90,279,0.1352
91,278,0.0858
92,280,-0.3098
93,278,0.136
94,278,0.0781
95,280,0.0271
96,278,0.0744
97,279,0.0882
98,278,0.0822
99,279,0.0776
100,279,0.0014
101,280,0.0951
102,280,0.0597
103,278,0.079
104,280,0.0695
105,279,0.104
106,279,0.0882
107,280,0.09
108,279,0.1087
109,278,0.1242
110,278,0.1424
111,278,0.1463
112,278,0.0444
113,278,0.121
114,279,0.1151
115,279,-0.2626
116,278,0.0833
117,280,-0.2669
118,279,0.0857
119,278,0.136
120,280,0.0842
121,279,0.0585
122,279,0.1286
123,279,0.0591
124,279,0.1271
125,278,0.0878
126,279,0.1203
127,279,0.0171
128,279,0.0764
129,278,0.0956
130,279,0.0261
131,278,0.1548
132,279,-0.2214
133,278,0.1246
134,279,-0.3175
135,279,0.1045
136,278,0.133
137,278,0.0833
138,279,0.0435
139,279,0.0629
140,279,0.0393
141,278,0.1312
142,279,0.1106
143,279,0.0818
144,279,0.0649
145,279,0.1052
146,279,0.0873
147,279,0.1203
148,280,0.0615
149,279,0.125
150,280,0.0558
151,279,0.1209
152,279,-0.2734
153,279,0.0297
154,279,0.1106
155,278,-0.1853
156,279,0.0848
157,279,0.1225
158,279,0.0102
159,278,0.0993
160,280,0.0659
161,280,0.107
162,278,0.1004
163,280,-0.2681
164,280,0.0545
165,280,0.0322
166,279,0.1094
167,280,0.0772
168,279,0.1093
169,278,0.0915
170,279,-0.0051
171,280,0.0546
172,278,0.1178
173,280,0.0624
174,279,0.1377
175,280,0.0532
176,279,0.1156
177,279,0.0315
178,279,0.1122
179,279,0.092
180,278,0.1623
181,279,0.0303
182,280,0.0549
183,278,0.079
184,279,-0.1583
185,278,0.1378
186,278,0.0966
187,279,0.0333
188,280,-0.2626
189,279,0.1028
190,279,0.0937
191,279,0.0567
192,278,0.0677
193,278,0.1047
194,278,-0.2835
195,279,0.1469
196,278,0.0956
197,278,0.1227
198,279,0.0918
199,279,0.0997
200,280,0.0629
201,278,-0.3091
202,279,0.0848
203,279,-0.2602
204,278,-0.3043
205,278,0.1327
206,278,0.1342
207,279,0.0007
208,279,0.0237
209,279,0.1179
210,280,0.0311
211,279,-0.2373
212,279,0.1117
213,278,0.0712
214,280,0.0718
215,279,0.0882
216,279,-0.2274
217,278,0.0925
218,279,0.0573
219,278,-0.198
220,279,0.0962
221,279,0.1271
222,279,0.0848
223,278,-0.2825
224,279,0.0225
225,278,0.0699
226,280,0.0928
227,279,0.0818
228,279,0.0249
229,279,0.0579
230,278,0.0956
231,278,0.0466
232,280,0.0362
233,279,-0.2998
234,279,0.0399
235,279,0.0799
236,278,0.1312
237,279,0.0896
238,278,0.118
239,278,0.1018
240,280,0.0349
241,278,0.1312
242,280,0.0519
243,279,0.1262
244,279,0.1501
245,280,0.0659
246,279,-0.0075
247,278,0.1099
248,279,0.1135
249,280,0.074
250,280,0.0859
251,279,-0.3238
252,279,0.0784
253,278,0.1143
254,278,-0.1971
255,279,0.0303
256,278,0.1474
257,278,0.0966
258,279,-0.2735
259,280,0.0644
260,279,0.0884
261,278,0.0966
262,279,0.0868
263,279,-0.0021
264,278,-0.1935
265,278,0.0822
266,279,0.0514
267,278,0.0983
268,278,-0.161
269,278,0.0966
270,279,-0.2443
271,278,0.1408
272,279,-0.201
273,278,0.1013
274,279,0.0554
275,279,0.024
276,279,0.1161
277,279,0.0465
278,280,0.0923
279,279,0.0323
280,278,-0.3108
281,279,0.1352
282,279,-0.2844
283,279,0.071
284,278,0.0289
285,278,-0.2365
286,278,0.1165
287,278,0.1168
288,278,-0.1588
289,280,0.0584
290,278,0.1216
291,278,0.0621
292,279,-0.1571
293,278,0.0925
294,278,0.1178
295,278,-0.17209844207260033
296,280,-0.247652566910362
297,279,0.09820243648411875
298,278,0.059937597487016374
299,280,0.02835495550599261
300,279,0.035241569597400546
301,278,0.09990439943734485
302,278,0.09251331585955432
303,279,0.09763540085320421
304,278,0.13300510541817331
305,279,-0.00871677374021768
306,279,0.09182908248907624
307,278,0.14629525471162144
308,279,0.09391641997121636
309,278,-0.32725909539624437
310,278,-0.20017469362847956
311,278,-0.30433116482160827
312,280,0.0584257070361597
313,279,0.12720411592867
314,278,-0.14533565062928258
315,278,0.0645011019817704
316,278,0.13300510541817331
317,279,-0.2817966680546711
318,280,0.06520428357809624
319,279,0.058895208183538855
320,279,0.10251193394630613
321,279,0.1035517018330746
322,278,0.12607474181137754
323,279,0.042251517632787235
324,279,0.04764632548750594
325,278,0.10474097226048872
326,278,0.06103150634020676
327,279,0.0766906603266052
328,278,0.08054332784350016
329,278,0.11947679730523358
330,278,-0.2554389794872048
331,278,0.08993569503284302
332,278,0.09662750817120289
333,278,-0.24152313493245806
334,279,0.04756343761963787
335,280,-0.25409307339101816
336,280,0.12334823071779989
337,279,0.03089078239445798
338,279,0.11819221331638256
339,278,0.06859001784764711
340,280,0.029624302159179567
341,278,0.09251331585955432
342,278,0.1594953188909138
343,280,0.07282640947464977
344,278,0.11479047969131188
345,279,0.09622082614684642
346,280,-0.2744558889389464
347,278,0.12269419988558186
348,279,0.03234531939041887
349,278,0.0543589736926145
350,279,0.0033000087965976725
351,279,0.03378100273421793
352,279,0.11819221331638256
353,279,0.022462090128510002
354,278,0.1407887544996911
355,278,0.08375427702830739
356,278,0.1458004414888042
357,279,0.11178779798474617
358,278,0.08575339747640315
359,280,0.07282640947464977
360,278,0.08886581294081942
361,279,0.00567363971256772
362,278,0.1407887544996911
363,279,0.1083134975382325
364,278,0.12269419988558186
365,280,0.0649671052631579
366,280,0.027094326608585725
367,279,0.07456321574994948
368,280,0.052045397390176794
369,279,0.06775318261687342
370,278,0.07526932217099898
371,279,0.15376768680058736
372,280,-0.011707322644771175
373,279,0.0830985336290641
374,280,0.008646430798325933
375,279,0.1113798322924767
376,279,0.00025809185406448895
377,278,0.09087588770566225
378,280,0.04273790395106132
379,279,-0.22137242230431706
380,279,0.09498165054491144
381,279,0.08392484891862297
382,280,0.06520428357809624
383,278,0.1119787437582344
384,279,0.017685984644265653
385,278,-0.20377405197509083
386,280,-0.3275274696729968
387,278,0.09521635873504213
388,278,0.1407887544996911
389,279,0.05888915617587835
390,278,0.1326605865835094
391,279,0.12303411034466055
392,280,-0.20891244862037509
393,279,0.06284566211098588
394,279,0.05005435569894499
395,279,0.09968415888394722
396,279,0.057864193681258426
397,279,0.14176754724935725
398,279,0.14486234616955623
399,279,0.06961338695028899
